App Name,Category,What It Does,Integration Type,Where It Appears,Has Theme Settings,Files in Theme,Keep / Drop / Discuss
Junip,Reviews,"Product reviews, store reviews, UGC gallery",App Block + Liquid Snippets,"Product pages, reviews page, product grid",No,"junip-product-review.liquid, junip-product-summary.liquid, junip-store-key.liquid, sections/junip-reviews.liquid, sections/junip-reviews-status-text.liquid, page.reviews.json",
Yotpo,Reviews,Product review widgets and UGC,Script Injection (theme.liquid),"Product pages, review widgets",No,"layout/theme.liquid, yotpo-full-css.css",
Algolia,Search & Filter,Advanced search and collection page filtering,Custom Liquid + JS,Collection pages (PLP),Yes (enable_algolia_plp),"algolia-pagination.liquid, algolia-update-team-records.liquid, settings_schema.json",
Rivo,Loyalty & Referrals,"Points, VIP tiers, referrals, rewards",App Blocks + Custom Section + Script,"Loyalty landing pages, referral pages, all pages",No,"sections/rivo-loyalty-landing-page.liquid, sections/rivo-js-custom.liquid, booster-apps-common.liquid, page.rivo-loyalty-landing-page.json, page.rivo-referrals-landing-page.json, page.rivo-text-us-subscribev2.json, page.loyalty-rewards.liquid, page.rivo-referrals.liquid, rivo-custom-action.js",
Purple Dot,Personalization & Waitlists,"Dynamic personalization, waitlists",Custom Liquid + Script,Product pages (tagged products),Yes (use_purpledot + API key),"purple-dot.liquid, settings_schema.json",
Rebuy,Upsells & Bundles,"Product recommendations, bundles, cross-sell",Custom Liquid + Template,Product pages,No,"rebuy-extensions.liquid, product.rebuy-bundle-takeover.json",
Replo,Page Builder,No-code visual page builder for landing pages,Generated Pages + Sections + Script,"45+ custom landing pages, product pages, sections",No,"45+ page.replo.*.liquid, 80+ reploChunk.*.liquid, 15+ replo.section-settings.*.liquid, replo-head.liquid, sections/replo-*.liquid (8 files)",
Customer Fields (Helium),Custom Customer Data,Custom customer profile fields and forms,App Embed + Script,"Customer account pages, login, registration",No,"customer-fields.liquid, layout/theme.liquid",
Dynamatic,Upsells & Cart,"Post-purchase upsells, cart optimization",Script Injection (theme.liquid),"Cart pages, post-purchase",No,layout/theme.liquid,
Kiwi Sizing,Size Charts,Interactive size guides and fit recommendations,Script Injection (theme.liquid),Product pages,No,layout/theme.liquid,
Klaviyo,Email & SMS Marketing,"Email campaigns, back-in-stock alerts, abandoned cart",Script + Liquid Config,"All pages (global), product pages",No,layout/theme.liquid,
Afterpay,Buy Now Pay Later,Installment payment messaging,Script Injection (theme.liquid),"Product pages, cart, checkout",No,layout/theme.liquid,
Hyros,Analytics & Attribution,Advanced conversion tracking and ROI measurement,Script Injection (theme.liquid),All pages (global),No,layout/theme.liquid,
Triple Whale / Polar,E-commerce Analytics,Store analytics and business intelligence,Script Injection (theme.liquid),All pages (global),No,layout/theme.liquid,
Voyage,SMS Marketing,SMS marketing and text-to-subscribe,Script Injection (theme.liquid),All pages (global popup),No,layout/theme.liquid,
Northbeam,Analytics & Attribution,Multi-touch attribution and marketing analytics,Script Injection (theme.liquid),All pages (global),No,layout/theme.liquid,
Hotjar,Session Recording,"Heatmaps, session recordings, feedback",Script Injection (theme.liquid),All pages (global),No,layout/theme.liquid,
The Trade Desk,Advertising,Programmatic advertising data collection,Script Injection (theme.liquid),All pages (global),No,layout/theme.liquid,
Dstillery,Advertising,Audience data for advertising,Pixel + Script,All pages (global),No,layout/theme.liquid,
Negate.io,Security / Analytics,Analytics and fraud prevention,Script Injection (theme.liquid),All pages (global),No,layout/theme.liquid,
MM UXRV,Analytics / Tracking,UX and conversion tracking,Script Injection (theme.liquid),All pages (global),No,layout/theme.liquid,
Keak,Analytics / A-B Testing,Domain-specific analytics,Script Injection (theme.liquid),All pages (global),No,layout/theme.liquid,
Accessibe,Accessibility,AI-powered WCAG/ADA accessibility overlay,Script Injection (theme.liquid),All pages (global),No,layout/theme.liquid,
GCM / Consentmo,Compliance,GDPR consent management and Google Consent Mode v2,Custom Liquid Snippet,"All pages (consent layer, currently commented out)",No,"gcm-integration-script.liquid, layout/theme.liquid",
Booster Apps,App Management,Common utilities for Booster app ecosystem,Liquid Snippet,All pages (global),No,booster-apps-common.liquid,
TSIO Workshop,Product Customization,Custom product configuration and shipping estimates,Custom Liquid + Section,"Product pages, collection pages",No,"tsio-workshop-*.liquid (7 files), sections/tsio-workshop-*.liquid (2 files), collection.tsio-workshop.liquid",
Timesact,Behavioral Tracking,Time-based and behavioral analytics,JS Asset,All pages (deferred),No,"timesact.js, layout/theme.liquid",
Hubbox,Shipping & Logistics,Shipping method and UPS Access Point integration,JS + CSS Assets,Checkout / shipping,Yes (ups_access_point),"hubbox.js, hubbox.css, settings_schema.json",
MWS Bundle Helper,Bundle Management,Shopify bundle product handling,Liquid Snippet,Product pages with bundles,No,"mws_bundle_helper.liquid, layout/theme.liquid",
Instant Pixel,Analytics,Analytics tracking pixel,JS Asset,All pages,No,instant-pixel-site_*.js,
AfterSell by Rokt,Post-Purchase Upsells,Post-purchase upsell offers,App Block,Product pages,No,product.json (block reference),
